Subject #,Experiment,Group,Condition,Trial,DZ Radius,Sensitivity,Curve Shape,Target Distance,Target Diameter,Click Hit,Click Distance,Overshot,Most Further Hand Position,Click Time
0,s,A,3,0,14,28,1,3.00,2.00,1,-0.73,1,30.17,1805
0,s,A,3,1,14,28,1,9.00,2.00,1,-0.09,0,39.91,1736
0,s,A,3,2,14,28,1,15.00,2.00,1,0.65,0,39.11,2187
0,s,A,3,3,14,28,1,3.00,2.00,1,0.62,0,25.29,2488
0,s,A,3,4,14,28,1,9.00,2.00,1,-0.06,0,42.98,2573
0,s,A,3,5,14,28,1,15.00,2.00,1,-0.61,0,44.11,2069
0,s,A,3,6,14,28,1,3.00,2.00,1,-0.14,0,28.33,1235
0,s,A,3,7,14,28,1,9.00,2.00,1,0.13,0,40.55,1570
0,s,A,3,8,14,28,1,15.00,2.00,1,-0.92,0,44.92,1888
0,s,A,3,9,14,28,1,15.00,2.00,1,-0.46,0,42.77,1953
0,s,A,3,10,14,28,1,9.00,2.00,1,0.78,1,53.44,5511
0,s,A,3,11,14,28,1,15.00,2.00,1,-0.81,0,49.81,2003
0,s,A,3,12,14,28,1,9.00,2.00,1,0.56,0,43.58,1788
0,s,A,3,13,14,28,1,15.00,2.00,1,-0.62,1,49.44,8149
0,s,A,3,14,14,28,1,9.00,2.00,1,0.94,0,40.11,2422
0,s,A,3,15,14,28,1,3.00,2.00,1,-0.66,0,27.72,1303
0,s,A,3,16,14,28,1,15.00,2.00,1,-0.72,0,43.51,1887
0,s,A,3,17,14,28,1,3.00,2.00,1,-0.64,0,28.26,1268
0,s,A,3,18,14,28,1,3.00,2.00,1,-0.26,0,31.18,1136
0,s,A,3,19,14,28,1,3.00,2.00,1,0.49,0,32.96,1284
0,s,A,3,20,14,28,1,9.00,2.00,1,-0.27,1,39.80,2839
0,s,A,3,21,14,28,1,9.00,2.00,1,-0.45,0,33.56,1469
0,s,A,3,22,14,28,1,3.00,2.00,1,-0.16,1,47.20,4978
0,s,A,3,23,14,28,1,15.00,2.00,1,0.38,0,45.13,2238
0,s,A,3,24,14,28,1,9.00,2.00,1,-0.98,0,45.08,1368
0,s,A,3,25,14,28,1,3.00,2.00,1,0.34,0,32.65,1202
0,s,A,3,26,14,28,1,15.00,2.00,1,0.87,0,50.52,2304
0,s,A,3,27,14,28,1,15.00,2.00,1,-0.65,0,56.89,1636
0,s,A,3,28,14,28,1,9.00,2.00,1,0.79,0,48.39,3157
0,s,A,3,29,14,28,1,3.00,2.00,1,0.26,0,36.73,1184
0,s,B,1,0,14,14,1,3.00,2.00,1,-0.07,1,32.42,1871
0,s,B,1,1,14,14,1,9.00,2.00,1,-0.49,0,42.75,2005
0,s,B,1,2,14,14,1,15.00,2.00,1,0.61,0,50.32,3741
0,s,B,1,3,14,14,1,3.00,2.00,1,-0.65,0,35.71,1318
0,s,B,1,4,14,14,1,9.00,2.00,1,0.07,0,59.89,3339
0,s,B,1,5,14,14,1,15.00,2.00,1,-0.53,0,59.05,2221
0,s,B,1,6,14,14,1,3.00,2.00,1,-0.37,0,42.41,1219
0,s,B,1,7,14,14,1,9.00,2.00,1,-0.22,0,46.94,1819
0,s,B,1,8,14,14,1,15.00,2.00,1,0.95,0,60.75,2439
0,s,B,1,9,14,14,1,15.00,2.00,1,0.45,1,63.56,3691
0,s,B,1,10,14,14,1,9.00,2.00,1,-0.80,0,56.25,2739
0,s,B,1,11,14,14,1,15.00,2.00,1,0.11,0,58.21,2371
0,s,B,1,12,14,14,1,9.00,2.00,1,-0.17,0,49.72,2838
0,s,B,1,13,14,14,1,15.00,2.00,1,-0.58,0,64.25,2170
0,s,B,1,14,14,14,1,9.00,2.00,1,-0.98,0,54.65,2724
0,s,B,1,15,14,14,1,3.00,2.00,1,-0.68,0,36.07,1269
0,s,B,1,16,14,14,1,15.00,2.00,1,-0.32,0,63.75,2137
0,s,B,1,17,14,14,1,3.00,2.00,1,-0.34,0,44.70,1118
0,s,B,1,18,14,14,1,3.00,2.00,1,-0.55,0,42.36,1002
0,s,B,1,19,14,14,1,3.00,2.00,1,-0.67,0,42.51,901
0,s,B,1,20,14,14,1,9.00,2.00,1,-0.59,0,56.19,4109
0,s,B,1,21,14,14,1,9.00,2.00,1,-0.75,0,58.60,1770
0,s,B,1,22,14,14,1,3.00,2.00,1,-0.33,0,42.77,1002
0,s,B,1,23,14,14,1,15.00,2.00,1,-0.61,0,73.27,3724
0,s,B,1,24,14,14,1,9.00,2.00,1,-0.86,0,50.76,1821
