Subject #,Experiment,Group,Condition,Trial,DZ Radius,Sensitivity,Curve Shape,Target Distance,Target Diameter,Click Hit,Click Distance,Overshot,Most Further Hand Position,Click Time
0,s,C,2,0,14,21,1,3.00,2.00,1,-0.32,1,82.95,1271
0,s,C,2,1,14,21,1,9.00,2.00,1,0.31,0,51.35,1553
0,s,C,2,2,14,21,1,15.00,2.00,1,-0.97,0,62.72,1736
0,s,C,2,3,14,21,1,3.00,2.00,1,0.64,0,45.67,5044
0,s,C,2,4,14,21,1,9.00,2.00,1,-0.70,0,61.71,3607
0,s,C,2,5,14,21,1,15.00,2.00,1,0.34,0,63.15,2788
0,s,C,2,6,14,21,1,3.00,2.00,1,-0.80,0,35.42,1620
0,s,C,2,7,14,21,1,9.00,2.00,1,0.53,1,54.60,6296
0,s,C,2,8,14,21,1,15.00,2.00,1,-0.33,0,63.09,2789
0,s,C,2,9,14,21,1,15.00,2.00,1,0.41,0,64.05,4225
0,s,C,2,10,14,21,1,9.00,2.00,1,-0.32,1,63.73,4995
0,s,C,2,11,14,21,1,15.00,2.00,1,-0.54,0,62.88,1686
0,s,C,2,12,14,21,1,9.00,2.00,1,-0.59,1,64.62,4258
0,s,C,2,13,14,21,1,15.00,2.00,1,-0.12,1,55.27,3223
0,s,C,2,14,14,21,1,9.00,2.00,1,0.29,0,52.86,1487
0,s,C,2,15,14,21,1,3.00,2.00,1,-0.54,0,32.57,1152
0,s,C,2,16,14,21,1,15.00,2.00,1,0.41,0,56.85,5111
0,s,C,2,17,14,21,1,3.00,2.00,1,-0.19,0,36.57,1352
0,s,C,2,18,14,21,1,3.00,2.00,1,0.18,0,38.30,1135
0,s,C,2,19,14,21,1,3.00,2.00,1,0.69,0,33.65,2521
0,s,C,2,20,14,21,1,9.00,2.00,1,-0.22,0,46.17,3206
0,s,C,2,21,14,21,1,9.00,2.00,1,-0.28,1,55.37,4626
0,s,C,2,22,14,21,1,3.00,2.00,1,0.05,0,38.53,1119
0,s,C,2,23,14,21,1,15.00,2.00,1,-0.80,1,69.61,3389
0,s,C,2,24,14,21,1,9.00,2.00,1,0.50,0,54.87,2356
0,s,C,2,25,14,21,1,3.00,2.00,1,-0.34,0,34.56,2488
0,s,C,2,26,14,21,1,15.00,2.00,1,0.91,0,67.34,2021
0,s,C,2,27,14,21,1,15.00,2.00,1,-0.09,1,68.77,3190
0,s,C,2,28,14,21,1,9.00,2.00,1,-0.15,0,69.85,5862
0,s,C,2,29,14,21,1,3.00,2.00,1,-0.31,0,38.49,1836
