Subject #,Experiment,Group,Condition,Trial,DZ Radius,Sensitivity,Curve Shape,Target Distance,Target Diameter,Click Hit,Click Distance,Overshot,Most Further Hand Position,Click Time
0,s,A,3,0,30,28,1,3.00,2.00,1,-1.00,1,53.00,-63604442547405
0,s,A,3,1,30,28,1,9.00,2.00,1,-1.00,0,80.00,-63604442549391
0,s,A,3,2,30,28,1,15.00,2.00,1,-1.00,1,93.00,-63604442550605
0,s,A,3,3,30,28,1,3.00,2.00,1,-1.00,1,58.00,-63604442553018
0,s,A,3,4,30,28,1,9.00,2.00,1,-1.00,1,98.00,-63604442555151
0,s,A,3,5,30,28,1,15.00,2.00,1,-1.00,1,114.00,-63604442557738
0,s,A,3,6,30,28,1,3.00,2.00,1,-1.00,0,47.00,-63604442560511
0,s,A,3,7,30,28,1,9.00,2.00,1,-1.00,0,75.00,-63604442561645
0,s,A,3,8,30,28,1,15.00,2.00,1,-1.00,0,105.00,-63604442562991
0,s,A,3,9,30,28,1,15.00,2.00,1,-1.00,0,68.00,-63604442564943
0,s,A,3,10,30,28,1,9.00,2.00,1,-1.00,0,55.00,-63604442567285
0,s,A,3,11,30,28,1,15.00,2.00,1,-1.00,1,106.00,-63604442568793
0,s,A,3,12,30,28,1,9.00,2.00,1,-1.00,0,52.00,-63604442570862
0,s,A,3,13,30,28,1,15.00,2.00,1,-1.00,1,118.00,-63604442573205
0,s,A,3,14,30,28,1,9.00,2.00,1,-1.00,0,62.00,-63604442576782
0,s,A,3,15,30,28,1,3.00,2.00,1,-1.00,1,68.00,-63604442578178
0,s,A,3,16,30,28,1,15.00,2.00,1,-1.00,0,107.00,-63604442580472
0,s,A,3,17,30,28,1,3.00,2.00,1,-1.00,0,49.00,-63604442581751
0,s,A,3,18,30,28,1,3.00,2.00,1,-1.00,0,44.00,-63604442582938
0,s,A,3,19,30,28,1,3.00,2.00,1,-1.00,0,43.00,-63604442584313
0,s,A,3,20,30,28,1,9.00,2.00,1,-1.00,0,83.00,-63604442585525
0,s,A,3,21,30,28,1,9.00,2.00,1,-1.00,0,70.00,-63604442586751
0,s,A,3,22,30,28,1,3.00,2.00,1,-1.00,0,47.00,-63604442588085
0,s,A,3,23,30,28,1,15.00,2.00,1,-1.00,0,81.00,-63604442589445
0,s,A,3,24,30,28,1,9.00,2.00,1,-1.00,1,58.00,-63604442591605
0,s,A,3,25,30,28,1,3.00,2.00,1,-1.00,1,49.00,-63604442594831
0,s,A,3,26,30,28,1,15.00,2.00,1,-1.00,0,68.00,-63604442597765
0,s,A,3,27,30,28,1,15.00,2.00,1,-1.00,0,74.00,-63604442600058
0,s,A,3,28,30,28,1,9.00,2.00,1,-1.00,0,51.00,-63604442601845
0,s,A,3,29,30,28,1,3.00,2.00,1,-1.00,0,49.00,-63604442603458
0,s,A,3,0,30,28,1,3.00,2.00,1,-1.00,1,62.00,-63604442802429
0,s,A,3,1,30,28,1,9.00,2.00,1,-1.00,1,72.00,-63604442803789
0,s,A,3,2,30,28,1,15.00,2.00,1,-1.00,0,102.00,-63604442806441
0,s,A,3,3,30,28,1,3.00,2.00,1,-1.00,1,68.00,-63604442808389
0,s,A,3,4,30,28,1,9.00,2.00,1,-1.00,0,72.00,-63604442810642
0,s,A,3,5,30,28,1,15.00,2.00,1,-1.00,0,83.00,-63604442811921
0,s,A,3,6,30,28,1,3.00,2.00,1,-1.00,0,56.00,-63604442813321
0,s,A,3,7,30,28,1,9.00,2.00,1,-1.00,0,52.00,-63604442814921
0,s,A,3,8,30,28,1,15.00,2.00,1,-1.00,0,111.00,-63604442816628
0,s,A,3,9,30,28,1,15.00,2.00,1,-1.00,1,123.00,-63604442818601
0,s,A,3,10,30,28,1,9.00,2.00,1,-1.00,1,101.00,-63604442821322
0,s,A,3,11,30,28,1,15.00,2.00,1,-1.00,0,87.00,-63604442823629
0,s,A,3,12,30,28,1,9.00,2.00,1,-1.00,0,100.00,-63604442825002
0,s,A,3,13,30,28,1,15.00,2.00,1,-1.00,0,110.00,-63604442826082
0,s,A,3,14,30,28,1,9.00,2.00,1,-1.00,0,57.00,-63604442827389
0,s,A,3,15,30,28,1,3.00,2.00,1,-1.00,0,49.00,-63604442829401
0,s,A,3,16,30,28,1,15.00,2.00,1,-1.00,1,91.00,-63604442830615
0,s,A,3,17,30,28,1,3.00,2.00,1,-1.00,0,55.00,-63604442833948
0,s,A,3,18,30,28,1,3.00,2.00,1,-1.00,1,65.00,-63604442835069
