Subject #,Experiment,Group,Condition,Trial,DZ Radius,Sensitivity,Curve Shape,Target Distance,Target Diameter,Click Hit,Click Distance,Overshot,Most Further Hand Position,Click Time
0,x,C,1,0,30,21,0.5,15.00,2.00,1,-1.00,1,104.00,-63604537429474
0,x,C,1,1,30,21,0.5,9.00,2.00,1,-1.00,1,71.00,-63604537435409
0,x,C,1,2,30,21,0.5,3.00,2.00,1,-1.00,0,59.00,-63604537440302
0,x,C,1,3,30,21,0.5,15.00,2.00,1,-1.00,0,102.00,-63604537441755
0,x,C,1,4,30,21,0.5,9.00,2.00,1,-1.00,1,65.00,-63604537443462
0,x,C,1,5,30,21,0.5,3.00,2.00,1,-1.00,1,65.00,-63604537446089
0,x,C,1,6,30,21,0.5,3.00,2.00,1,-1.00,0,46.00,-63604537448556
0,x,C,1,7,30,21,0.5,15.00,2.00,1,-1.00,0,87.00,-63604537449755
0,x,C,1,8,30,21,0.5,15.00,2.00,1,-1.00,0,90.00,-63604537451316
0,x,C,1,9,30,21,0.5,9.00,2.00,1,-1.00,1,73.00,-63604537452916
0,x,C,1,10,30,21,0.5,3.00,2.00,1,-1.00,0,52.00,-63604537456983
0,x,C,1,11,30,21,0.5,15.00,2.00,1,-1.00,0,95.00,-63604537458009
0,x,C,1,12,30,21,0.5,9.00,2.00,1,-1.00,1,61.00,-63604537459636
0,x,C,1,13,30,21,0.5,9.00,2.00,1,-1.00,1,73.00,-63604537463196
0,x,C,1,14,30,21,0.5,15.00,2.00,1,-1.00,0,90.00,-63604537465942
0,x,C,1,15,30,21,0.5,9.00,2.00,1,-1.00,0,70.00,-63604537467436
0,x,C,1,16,30,21,0.5,9.00,2.00,1,-1.00,0,82.00,-63604537468849
0,x,C,1,17,30,21,0.5,3.00,2.00,1,-1.00,1,57.00,-63604537471075
0,x,C,1,18,30,21,0.5,3.00,2.00,1,-1.00,0,51.00,-63604537475582
0,x,C,1,19,30,21,0.5,15.00,2.00,1,-1.00,0,100.00,-63604537476769
0,x,C,1,20,30,21,0.5,15.00,2.00,1,-1.00,1,82.00,-63604537478448
0,x,C,1,21,30,21,0.5,3.00,2.00,1,-1.00,1,70.00,-63604537481075
0,x,C,1,22,30,21,0.5,9.00,2.00,1,-1.00,0,58.00,-63604537484636
0,x,C,1,23,30,21,0.5,3.00,2.00,1,-1.00,0,39.00,-63604537486235
0,x,C,1,24,30,21,0.5,9.00,2.00,1,-1.00,0,72.00,-63604537487915
0,x,C,1,25,30,21,0.5,15.00,2.00,1,-1.00,0,87.00,-63604537489063
0,x,C,1,26,30,21,0.5,3.00,2.00,1,-1.00,0,56.00,-63604537490382
0,x,C,1,27,30,21,0.5,9.00,2.00,1,-1.00,0,74.00,-63604537491409
0,x,C,1,28,30,21,0.5,15.00,2.00,1,-1.00,0,84.00,-63604537492689
0,x,C,1,29,30,21,0.5,3.00,2.00,1,-1.00,1,71.00,-63604537494769
