Subject #,Experiment,Group,Condition,Trial,DZ Radius,Sensitivity,Curve Shape,Target Distance,Target Diameter,Click Hit,Click Distance,Overshot,Farthest Hand Position,Click Time
0,s,C,2,0,30,21,1,3.00,2.00,1,0.37,1,89.00,1453
0,s,C,2,1,30,21,1,9.00,2.00,1,-0.48,0,95.00,1199
0,s,C,2,2,30,21,1,15.00,2.00,1,-0.03,0,112.00,1346
0,s,C,2,3,30,21,1,3.00,2.00,1,-0.05,0,65.00,1066
0,s,C,2,4,30,21,1,9.00,2.00,1,0.55,0,95.00,2133
0,s,C,2,5,30,21,1,15.00,2.00,1,-0.68,0,110.00,2026
0,s,C,2,6,30,21,1,3.00,2.00,1,-0.03,0,58.00,1172
0,s,C,2,7,30,21,1,9.00,2.00,1,-0.71,1,88.00,2559
0,s,C,2,8,30,21,1,15.00,2.00,1,0.63,0,120.00,1404
0,s,C,2,9,30,21,1,15.00,2.00,1,-0.48,1,96.00,2422
0,s,C,2,10,30,21,1,9.00,2.00,1,0.13,0,75.00,1879
0,s,C,2,11,30,21,1,15.00,2.00,1,-0.40,0,101.00,1426
0,s,C,2,12,30,21,1,9.00,2.00,1,-0.07,0,81.00,1279
0,s,C,2,13,30,21,1,15.00,2.00,1,0.20,0,92.00,2372
0,s,C,2,14,30,21,1,9.00,2.00,1,0.68,0,93.00,1293
0,s,C,2,15,30,21,1,3.00,2.00,1,-0.52,1,65.00,1974
0,s,C,2,16,30,21,1,15.00,2.00,1,-0.37,1,110.00,2252
0,s,C,2,17,30,21,1,3.00,2.00,1,-0.19,0,57.00,1079
0,s,C,2,18,30,21,1,3.00,2.00,1,-0.40,0,59.00,1026
0,s,C,2,19,30,21,1,3.00,2.00,1,0.37,0,53.00,1293
0,s,C,2,20,30,21,1,9.00,2.00,1,-0.05,0,84.00,1333
0,s,C,2,21,30,21,1,9.00,2.00,1,0.13,0,76.00,1359
0,s,C,2,22,30,21,1,3.00,2.00,1,-0.34,0,43.00,1452
0,s,C,2,23,30,21,1,15.00,2.00,1,0.62,0,92.00,1520
0,s,C,2,24,30,21,1,9.00,2.00,1,-0.30,0,70.00,1439
0,s,C,2,25,30,21,1,3.00,2.00,1,-0.21,1,67.00,1706
0,s,C,2,26,30,21,1,15.00,2.00,1,-0.47,0,88.00,1426
0,s,C,2,27,30,21,1,15.00,2.00,1,-0.14,0,90.00,1493
0,s,C,2,28,30,21,1,9.00,2.00,1,-0.32,1,86.00,3319
0,s,C,2,29,30,21,1,3.00,2.00,1,0.08,0,58.00,1054
